title,organization,location,salary,salary_number,match_score,link,source,description,date_found
University of Washington jobs page,University of Washington,Seattle / Hybrid / Remote varies,Check posting,,8,https://www.washington.edu/jobs/,Manual source link,Official jobs page for the University of Washington.,2026-04-15
Washington Community & Technical Colleges jobs page,Washington State Board for Community and Technical Colleges,Washington / Hybrid varies,Check posting,,3,https://www.sbctc.edu/about/jobs,Manual source link,Official jobs page for Washington community and technical college openings.,2026-04-15
